T_DB (K),P (Pa),x_w (mol/mol),x_w_sat(mol/hmol),x_w_gas (mol/mol),h_gas (J/mol),s_gas (J/mol/K),v_gas (m3/mol),x_w_liq (mol/mol),h_liq (J/mol),s_liq (J/mol/K),v_liq (m3/mol),x_gas (mol/mol),RH,T_WB (K)
286.688032,173383.7307,0.03748242,0.009006037,0.009006037,795.2299977,-1.540574943,0.013736739,1,1027.258995,3.659435732,1.80E-05,0.971264827,1,286.688032
279.478675,185401.2483,0.10902233,0.005196499,0.005196499,412.1033529,-3.468171921,0.012520985,1,482.5983045,1.734525909,1.80E-05,0.895631819,1,279.478675
345.233258,95050.5157,0.19997604,0.361060616,0.19997604,11164.39497,36.20533784,0.030167092,1,5437.867698,17.66323411,1.84E-05,1,0.553857251,332.7418967
254.269131,173602.5587,0.1935307,0.000666951,0.000666951,-526.5480145,-6.456091066,0.012159241,1,0,0,0,0.807007535,1,254.269131
323.203198,185542.0746,0.16826231,0.067247531,0.067247531,4494.347785,10.18966267,0.014473148,1,3778.045766,12.6902546,1.82E-05,0.89170248,1,323.203198
373.183179,126863.1478,0.08620741,0.803020698,0.08620741,6839.890369,20.35580103,0.024454709,1,7554.254916,23.55615253,1.88E-05,1,0.107353908,326.4157
367.662057,150161.0245,0.13788781,0.557204418,0.13788781,9020.541551,25.79406429,0.020346403,1,7135.574013,22.42467473,1.87E-05,1,0.247463598,336.5776944
274.856389,139182.4086,0.08190844,0.004993805,0.004993805,271.653382,-1.593843739,0.016405711,1,131.4115118,0.470439626,1.80E-05,0.92269934,1,274.856389
286.934721,55640.91,0.0648793,0.028412594,0.028412594,1686.162428,10.98705732,0.042863238,1,1043.839249,3.724645523,1.80E-05,0.96246688,1,286.934721
331.301469,55853.6233,0.05735692,0.328967332,0.05735692,4296.115159,19.48552793,0.049310352,1,4386.267992,14.55615913,1.83E-05,1,0.174354455,302.8690542
334.772701,176478.4526,0.02834768,0.122762032,0.02834768,3077.054888,5.875898606,0.01576855,1,4649.795602,15.340816,1.83E-05,1,0.230915696,313.2401776
302.047138,57903.6124,0.12666936,0.069039762,0.069039762,3962.053512,18.1615168,0.043354983,1,2182.962034,7.593502338,1.81E-05,0.938096606,1,302.047138
296.946303,55732.2201,0.17306835,0.053072727,0.053072727,3091.737587,15.65509958,0.04428533,1,1798.723443,6.31065402,1.81E-05,0.873278945,1,296.946303
308.85661,149290.7706,0.05120993,0.039434176,0.039434176,2818.667452,6.579062251,0.017191634,1,2697.173669,9.271601025,1.81E-05,0.987740815,1,308.85661
306.197296,106967.017,0.00172881,0.047418177,0.00172881,1040.803858,3.194992272,0.023793464,1,2496.267796,8.620795457,1.81E-05,1,0.036458804,286.5438036
289.195881,81566.6855,0.17545058,0.022441543,0.022441543,1481.026696,7.117049596,0.029466912,1,1214.914332,4.316902026,1.80E-05,0.843478376,1,289.195881
343.47141,171338.3596,0.12701463,0.186199519,0.12701463,7799.77325,21.13953444,0.016652099,1,5305.973973,17.27612894,1.84E-05,1,0.682142632,335.6853686
360.407869,162566.1084,0.12314705,0.39190735,0.12314705,8133.114893,22.47961564,0.018422662,1,6586.084741,20.91455167,1.86E-05,1,0.314224906,335.5910192
272.683549,51012.1785,0.03644684,0.011555386,0.011555386,510.8702564,7.607351701,0.044429381,1,0,0,0,0.974817553,1,272.683549
268.387863,145721.9921,0.13671562,0.002830207,0.002830207,-14.96937575,-3.036661341,0.015298359,1,0,0,0,0.865734588,1,268.387863
291.848792,194738.5876,0.13476208,0.011154727,0.011154727,1041.382002,-1.643834766,0.012450488,1,1416.912595,5.005173867,1.80E-05,0.874998287,1,291.848792
329.917724,166774.2095,0.08302248,0.10357452,0.08302248,5407.473557,13.95993345,0.016436844,1,4283.65965,14.23965823,1.83E-05,1,0.801572432,325.939045
257.246591,110406.2583,0.03239697,0.001383546,0.001383546,-401.8126893,-2.207048459,0.019354682,1,0,0,0,0.968943608,1,257.246591
309.349023,197991.0098,0.02058211,0.030589575,0.02058211,1978.777223,1.4048173,0.012983441,1,2735.032214,9.391223596,1.81E-05,1,0.672847197,304.7147539
292.545371,136402.1415,0.01375799,0.016603783,0.01375799,1183.313733,1.812455472,0.017821919,1,1468.432569,5.185095584,1.80E-05,1,0.828605756,290.8061777
246.232417,116205.6721,0.0302105,0.000451432,0.000451432,-765.1749507,-4.077829336,0.01759666,1,0,0,0,0.970227492,1,246.232417
258.580138,149081.593,0.05977179,0.001160889,0.001160889,-376.3894626,-4.603600671,0.014403813,1,0,0,0,0.941320979,1,258.580138
264.80653,87082.5427,0.13721181,0.003466803,0.003466803,-85.81009451,0.975709224,0.025266952,1,0,0,0,0.865789712,1,264.80653
360.619588,117308.028,0.0089729,0.54621814,0.0089729,2959.268631,8.421414047,0.02556064,1,6601.478847,20.95959072,1.86E-05,1,0.01642732,306.4007114
291.656745,96587.3879,0.11187995,0.022155468,0.022155468,1538.938117,5.912091837,0.025095012,1,1400.761845,4.955885957,1.80E-05,0.908242589,1,291.656745
293.419249,197720.9345,0.04043668,0.012114648,0.012114648,1130.376335,-1.460644357,0.012328838,1,1535.341431,5.409690466,1.80E-05,0.971330649,1,293.419249
309.178829,182818.1184,0.09429656,0.032807163,0.032807163,2526.62767,3.92331785,0.014052633,1,2721.97411,9.349889892,1.81E-05,0.936424884,1,309.178829
253.698858,89119.4165,0.1350956,0.001225934,0.001225934,-510.3171786,-0.852668452,0.023649922,1,0,0,0,0.865966017,1,253.698858
264.813415,178505.1507,0.06430521,0.001698383,0.001698383,-172.9183759,-5.319187541,0.012318731,1,0,0,0,0.937286662,1,264.813415
276.113815,164045.6484,0.00791474,0.004638149,0.004638149,290.3726098,-2.892405393,0.013981264,1,227.2725903,0.816786302,1.80E-05,0.996708141,1,276.113815
322.086112,150825.6947,0.12913132,0.078176495,0.078176495,4957.725583,13.3925691,0.017743208,1,3693.363764,12.42975361,1.82E-05,0.944723882,1,322.086112
305.584864,71333.2437,0.10711362,0.068627756,0.068627756,4046.419392,16.70759304,0.035603199,1,2449.574702,8.470258895,1.81E-05,0.958678322,1,305.584864
332.769705,144691.5235,0.1019796,0.136398844,0.1019796,6351.048929,18.09576349,0.019108417,1,4498.298264,14.88866445,1.83E-05,1,0.747657364,327.3213988
368.202134,171665.2192,0.01197647,0.497795144,0.01197647,3315.843817,6.344877358,0.017835469,1,7176.829546,22.53570843,1.87E-05,1,0.024059033,314.5444271
253.034607,73432.8139,0.17724663,0.001395136,0.001395136,-520.6088968,0.715235166,0.02863055,1,0,0,0,0.823902826,1,253.034607
268.598268,162587.3315,0.00312779,0.002584186,0.002584186,-21.2940278,-3.97077853,0.013720753,1,0,0,0,0.999454987,1,268.598268
305.10651,165139.3985,0.00768155,0.02892886,0.00768155,1274.199005,0.470136015,0.015354206,1,2415.088996,8.351756501,1.81E-05,1,0.265532415,293.9399869
321.810247,176160.8731,0.10250021,0.066056819,0.066056819,4400.154526,10.32267977,0.01517854,1,3672.980623,12.36500771,1.82E-05,0.960979007,1,321.810247
374.050251,121618.9246,0.07444948,0.863049873,0.07444948,6331.372105,19.08188095,0.025569931,1,7620.04278,23.73250038,1.88E-05,1,0.086263242,323.8065956
289.511296,167981.3285,0.14490243,0.011148104,0.011148104,974.6770799,-0.645437106,0.01431906,1,1240.19094,4.398871462,1.80E-05,0.864737757,1,289.511296
272.118389,107455.7692,0.16968678,0.005245669,0.005245669,205.6767194,0.314667295,0.02104093,1,0,0,0,0.834691737,1,272.118389
328.620976,172329.4396,0.0905306,0.094248591,0.0905306,5707.558839,14.64032488,0.015842483,1,4186.019291,13.94281291,1.83E-05,1,0.960551234,327.8882453
289.019194,136889.4229,0.14311074,0.013244393,0.013244393,1057.069546,1.346993267,0.017543556,1,1202.536411,4.270636833,1.80E-05,0.868390566,1,289.019194
342.579582,131703.007,0.07089312,0.232777713,0.07089312,5236.791498,15.29962866,0.021620437,1,5238.072967,17.08031016,1.84E-05,1,0.304552867,320.9533038
283.959908,100231.4584,0.11425685,0.01298674,0.01298674,900.4308678,3.389882545,0.023542938,1,819.9649898,2.937529279,1.80E-05,0.897397417,1,283.959908
351.934673,120371.4159,0.12209865,0.377466015,0.12209865,7836.016837,24.12847254,0.024296988,1,5944.50875,19.11535979,1.85E-05,1,0.323469253,328.8310609
286.247724,95929.4365,0.08044345,0.015777921,0.015777921,1093.371642,4.430257781,0.024797821,1,992.6763629,3.54358896,1.80E-05,0.934297828,1,286.247724
261.447171,125548.9489,0.06581024,0.001787246,0.001787246,-262.5693183,-2.736788426,0.01729746,1,0,0,0,0.935862377,1,261.447171
256.208029,62088.5343,0.06052257,0.002228462,0.002228462,-389.7268052,2.622104858,0.034290929,1,0,0,0,0.941575696,1,256.208029
269.462053,98381.23,0.12313695,0.0045845,0.0045845,99.2137396,0.654383214,0.022757899,1,0,0,0,0.880901543,1,269.462053
268.322271,50224.8824,0.03750451,0.00813606,0.00813606,229.878757,6.71723398,0.044403285,1,0,0,0,0.970390647,1,268.322271
